chr1	73541052	38	32	24	32	39	45	18	15	112	22	32	34	32	74	15	0
chr1	90432999	22	36	33	39	37	43	28	31	99	23	33	28	41	86	21	10
chr1	166035151	32	34	37	39	32	48	26	22	100	25	22	37	16	90	19	0
chr1	166692557	38	34	33	43	41	45	25	23	107	29	44	25	38	78	26	0
chr1	198058552	40	29	40	29	40	39	24	19	128	28	38	32	34	91	31	6
chr1	244542553	34	48	21	27	42	32	28	13	95	22	35	38	25	85	37	0
chr2	74799107	14	22	31	18	32	27	24	12	86	21	33	34	31	96	26	0
chr2	107227447	40	20	32	31	36	48	23	17	116	25	35	32	26	78	24	2
chr2	136621977	38	48	45	35	41	53	39	28	116	23	31	33	33	94	20	0
chr3	3674879	32	28	33	10	30	36	21	25	105	22	40	31	41	74	23	2
chr3	23100588	28	21	46	29	32	37	33	15	97	14	47	31	25	92	31	0
chr3	84257148	42	48	45	35	41	46	24	24	101	26	35	28	30	83	21	0
chr3	87703700	31	41	39	34	31	45	26	20	108	28	32	47	46	95	29	0
chr3	176292376	41	41	41	26	21	30	21	28	92	21	42	40	25	74	26	0
chr3	190393612	33	44	36	37	37	43	30	30	121	32	38	25	30	86	21	0
chr4	42092398	43	32	31	32	24	38	17	22	80	19	43	33	21	98	21	0
chr4	44560094	46	48	37	35	43	42	25	33	116	25	37	31	28	72	15	0
chr4	64604157	41	40	34	28	34	44	25	26	108	30	31	34	15	97	19	0
chr4	106018838	54	38	42	28	46	41	28	25	102	22	27	33	29	102	27	0
chr4	130328657	32	40	40	33	37	46	37	26	77	21	31	26	31	73	22	0
chr4	133393038	39	39	35	25	35	38	23	22	102	29	42	33	26	82	19	0
chr4	135031120	38	37	33	22	39	29	19	25	88	27	42	35	23	66	22	0
chr4	165740548	31	37	34	20	33	41	28	18	100	16	37	38	28	88	31	0
chr5	61450877	43	42	30	28	36	49	35	22	101	22	47	35	22	73	21	4
chr5	79607931	38	39	20	22	23	31	27	16	65	17	36	29	29	81	35	0
chr5	133337582	35	30	38	25	40	47	25	21	101	23	35	34	23	74	22	4
chr5	173459229	33	34	27	21	50	36	34	22	105	26	47	32	27	73	27	0
chr6	2614365	42	37	36	24	40	44	29	26	112	24	34	37	17	69	24	8
chr6	6148265	59	38	31	28	45	54	34	30	121	24	31	0	21	90	29	0
chr6	42414929	41	29	33	27	35	51	25	16	100	32	41	26	27	87	30	0
chr6	61421170	40	38	38	34	31	52	21	28	88	26	43	33	24	89	21	0
chr6	122042785	43	40	36	41	41	50	29	14	121	13	37	36	22	87	32	6
chr6	158087844	42	43	21	23	30	45	21	20	116	23	35	26	35	60	27	0
chr7	3498277	36	38	28	29	35	37	33	20	105	24	43	39	26	93	23	0
chr7	93205930	31	31	40	28	37	53	38	26	110	24	32	31	25	81	27	0
chr7	103572489	39	52	43	22	47	46	31	24	130	30	47	38	17	93	30	0
chr7	104226214	56	36	35	24	31	51	29	23	120	25	39	41	24	78	24	0
chr8	4989431	38	37	34	19	21	27	25	15	82	16	43	38	25	81	30	0
chr8	15391643	39	30	33	22	34	33	25	19	83	25	31	24	31	86	19	2
