chr1	73541052	150	200	130	14	22	52
chr1	90432999	193	183	.	20	15	52
chr1	166035151	153	207	150	29	18	38
chr1	166692557	203	207	138	17	15	54
chr1	198058552	179	166	141	29	20	52
chr1	244542553	180	195	159	29	19	46
chr2	74799107	143	143	137	34	18	41
chr2	107227447	170	167	150	36	26	40
chr2	136621977	176	197	154	22	25	50
chr3	3674879	169	156	145	21	21	49
chr3	23100588	146	190	133	23	24	66
chr3	84257148	158	185	130	23	31	44
chr3	87703700	164	192	120	18	15	64
chr3	176292376	171	192	142	16	13	39
chr3	190393612	190	203	146	34	25	63
chr4	42092398	152	156	132	19	20	43
chr4	44560094	189	190	124	29	17	58
chr4	64604157	167	198	138	27	17	45
chr4	106018838	184	179	139	25	23	53
chr4	130328657	184	194	119	17	19	50
chr4	133393038	181	200	132	30	21	54
chr4	135031120	162	185	134	20	24	50
chr4	165740548	160	156	135	26	21	41
chr5	61450877	161	175	154	25	17	38
chr5	79607931	142	125	117	35	19	56
chr5	133337582	156	170	152	22	16	41
chr5	173459229	167	177	118	25	15	59
chr6	2614365	161	204	128	24	17	39
chr6	6148265	174	192	.	23	23	49
chr6	42414929	167	197	.	24	20	46
chr6	61421170	169	200	.	17	12	34
chr6	122042785	156	166	149	28	15	52
chr6	158087844	161	155	139	33	23	47
chr7	3498277	178	179	150	20	24	40
chr7	93205930	197	212	115	32	28	40
chr7	103572489	193	202	141	18	22	60
chr7	104226214	202	182	142	18	16	53
chr8	4989431	152	185	122	29	13	48
chr8	15391643	189	152	114	21	22	47
chr8	21197997	165	170	145	25	22	53
chr8	24885551	177	186	.	27	16	43
chr8	39058397	182	201	154	24	19	53
chr8	58710301	190	195	140	33	22	.
chr8	63367971	143	167	106	19	20	64
chr9	18915429	151	176	168	38	22	51
chr9	37333900	146	152	.	21	28	47
chr9	69851270	146	166	132	27	24	49
chr10	2276533	165	193	124	27	16	53
chr10	36203178	164	188	122	24	19	50
chr10	128958189	154	173	131	20	15	44
chr11	23472044	192	176	.	34	21	43
chr11	32308675	156	160	.	9	21	50
chr11	77589808	139	161	141	24	14	52
chr11	80996212	155	166	128	32	29	55
chr11	99772307	181	180	134	24	22	50
chr11	106698019	169	196	144	19	28	62
chr11	112720896	161	185	146	26	20	48
chr12	16390200	173	150	73	10	9	24
chr12	20590527	160	180	102	16	20	42
chr12	21234864	191	205	145	20	22	60
chr12	66129012	175	186	149	21	17	37
chr12	84044546	189	171	124	23	21	43
chr12	102582395	160	170	162	23	23	57
chr13	56968007	199	188	.	15	18	52
chr13	93776833	168	198	127	24	16	58
chr13	105935342	137	167	154	32	23	45
chr14	46402523	175	196	134	20	20	49
chr14	47752636	168	200	107	20	29	53
chr14	86144338	198	200	142	23	25	49
chr14	87412577	141	199	.	16	22	46
chr14	102232184	166	171	135	36	11	57
chr15	77965039	170	175	142	25	13	48
chr17	11511285	182	159	128	18	22	35
chr18	58240824	177	177	147	28	18	56
chr19	5353362	127	165	128	28	26	44
chr19	41358910	114	107	134	21	12	43
chr19	56207041	138	159	116	23	18	52
chr20	8091662	173	193	128	20	25	49
chr21	28030660	169	180	139	27	21	62
chrX	22600348	92	93	55	17	6	16
chrX	90035299	63	64	38	10	2	7
chrX	90035300	78	89	56	10	5	12
chr1	67792120	187	186	138	23	12	45
chr1	69594465	161	188	136	18	18	43
chr1	73103819	176	200	116	20	24	50
chr1	75031641	161	190	117	19	27	49
chr1	106433582	161	169	.	22	16	62
chr1	216073389	167	178	130	22	15	64
chr1	243101908	166	163	147	23	20	52
chr1	247586943	205	177	134	19	19	57
chr2	351180	203	193	148	17	28	51
chr2	16447389	175	161	.	17	19	51
chr2	34434698	168	197	141	21	16	49
chr2	36780923	99	106	56	10	8	14
chr2	67767848	153	186	131	19	19	55
chr2	72413392	191	188	.	22	23	39
chr2	78440878	182	185	125	22	23	49
chr2	87577227	168	170	125	16	17	36
chr2	89221894	95	117	66	11	13	20
chr2	97092979	165	197	144	23	18	62
chr2	103395303	163	181	122	25	15	56
chr2	114787255	171	221	167	24	26	45
chr2	115852478	183	184	146	16	22	50
chr2	125896768	135	156	125	21	29	56
chr2	145726840	198	187	158	19	17	41
chr2	150320593	185	190	128	19	19	58
chr2	165510607	166	198	144	16	24	52
chr2	181967657	148	185	133	29	20	53
chr2	182139702	174	171	164	23	22	56
chr2	192080361	171	195	140	31	23	50
chr2	213928421	181	169	145	21	17	52
chr2	215959675	145	213	.	20	23	39
chr2	222196201	190	194	128	23	29	49
chr2	230342931	180	203	155	29	18	63
chr3	21629090	155	163	137	20	18	62
chr3	42145825	169	175	126	22	14	49
chr3	81717267	187	174	134	24	20	52
chr3	138454711	144	168	122	19	12	47
chr3	138730557	148	169	128	25	24	51
chr3	144011147	176	209	119	27	18	59
chr3	147417440	160	164	122	20	14	59
chr3	181620320	174	184	153	21	18	36
chr3	192955510	176	193	139	27	18	53
chr3	192955522	173	192	133	26	17	49
chr4	23014031	171	182	139	23	23	45
chr4	27061219	164	157	149	28	18	44
chr4	31513400	190	174	145	22	18	58
chr4	38943245	171	183	149	19	22	52
chr4	59456887	151	166	124	24	14	43
chr4	64968621	176	203	135	26	25	50
chr4	79524651	171	182	154	21	27	40
chr4	91811626	180	176	128	29	25	50
chr4	92687350	160	163	128	26	31	44
chr4	93837429	185	200	128	13	22	41
chr4	105559061	171	180	136	21	21	45
chr4	110837651	163	189	154	20	26	53
chr4	115156261	179	207	142	22	19	51
chr4	133743826	185	183	118	19	23	58
chr4	134772682	170	181	141	28	20	43
chr4	135960648	173	185	135	22	17	55
chr4	137397618	183	196	157	23	24	48
chr4	141804663	170	187	131	27	17	50
chr4	154909239	161	209	130	14	28	40
chr4	174192318	192	190	135	12	19	51
chr5	1731625	140	178	111	31	18	55
chr5	15059738	173	209	140	17	18	.
chr5	20911734	178	161	146	23	26	48
chr5	45649112	168	192	.	23	15	47
chr5	98167981	176	203	159	16	15	43
chr5	102046110	188	194	135	26	23	44
chr5	109652519	160	205	135	20	24	45
chr5	117441230	163	205	130	31	22	49
chr5	125804498	169	182	149	33	17	53
chr5	132791144	173	183	152	31	16	43
chr5	140762420	176	199	149	31	18	42
chr5	164145915	175	168	148	28	21	60
chr5	164390798	168	162	130	14	14	46
chr5	165164156	158	177	133	25	16	45
chr5	169323831	160	188	148	22	28	54
chr6	14485154	143	174	137	21	18	46
chr6	68362140	179	169	130	19	20	42
chr6	111976741	191	174	141	23	21	36
chr6	114634316	191	203	127	25	17	45
chr6	155964307	146	166	153	21	21	40
chr7	9452145	171	189	129	29	26	39
chr7	20773700	150	185	136	33	16	51
chr7	48893210	140	162	119	27	19	38
chr7	52260299	156	161	123	23	21	57
chr7	54358564	215	184	125	21	18	50
chr7	77250294	176	202	.	20	17	50
chr7	80917897	149	141	130	25	16	57
chr7	118580384	173	201	.	25	18	57
chr7	120658428	185	211	124	31	17	51
chr7	120716147	169	199	152	22	21	56
chr7	132462246	152	152	126	18	18	40
chr7	146490096	138	148	138	15	20	43
chr7	154141909	153	163	111	16	22	48
chr8	3976995	193	171	125	17	22	50
chr8	13992317	159	168	127	24	26	58
chr8	15592384	169	158	115	23	25	49
chr8	18112328	187	169	129	23	11	57
chr8	28883788	176	198	131	21	18	48
chr8	46713041	162	179	134	31	20	39
chr8	57199427	156	169	144	32	17	46
chr8	82652310	209	200	.	24	21	47
chr8	99530433	179	187	156	21	16	50
chr8	107267275	178	193	143	11	24	44
chr8	113040016	167	175	129	17	20	48
chr8	138944218	140	134	128	23	19	48
chr8	139053962	172	202	128	17	16	40
chr9	76844941	193	179	146	39	16	52
chr9	99448857	179	167	139	20	26	49
chr9	103397506	173	211	140	25	14	49
chr10	2252132	192	175	137	27	16	53
chr10	28175305	149	184	128	20	14	46
chr10	36266404	166	152	127	20	13	50
chr10	66334992	155	170	144	31	23	54
chr10	76178227	171	182	125	25	18	62
chr10	85795891	195	189	137	17	22	50
chr10	121574353	138	171	136	14	23	38
chr10	128891644	164	164	.	29	22	36
chr11	1054101	139	130	133	15	20	43
chr11	6424905	164	173	157	34	18	42
chr11	37677169	179	162	.	24	26	42
chr11	64090762	142	164	130	25	20	33
chr11	77313629	150	188	129	23	26	45
chr11	89086000	166	189	114	22	21	50
chr11	91103968	167	188	134	30	24	54
chr11	97973245	157	159	125	30	14	48
chr11	99071384	155	196	130	25	14	46
chr11	99947084	167	177	139	24	16	41
chr11	124418871	169	190	137	23	17	57
chr11	127395572	174	169	122	23	17	36
chr11	133471355	172	186	139	24	18	47
chr12	2079260	164	150	122	35	28	52
chr12	23357729	190	180	121	18	17	48
chr12	52421184	135	136	121	17	10	49
chr12	61149559	162	180	136	34	13	50
chr12	83328729	176	177	136	19	19	40
chr12	120272184	111	104	131	20	14	35
chr12	122729559	144	171	140	36	20	39
chr13	33309138	179	202	135	18	18	49
chr13	58470587	159	163	128	17	18	58
chr13	67259583	166	168	.	15	14	45
chr13	68302926	157	173	138	17	16	54
chr13	69249081	157	170	125	23	18	46
chr13	70458824	158	194	134	28	24	50
chr13	70551140	173	178	124	26	33	49
chr13	70732274	168	184	128	30	19	61
chr13	81101051	165	180	143	25	22	44
chr13	81566983	158	173	117	21	18	42
chr13	89000104	177	175	139	12	20	57
chr13	91775367	192	169	129	16	27	59
chr13	102747790	183	202	141	21	16	61
chr13	103482864	195	208	141	33	29	57
chr14	32763516	176	186	168	31	14	42
chr14	39851640	142	181	133	17	20	48
chr14	46312130	179	196	137	27	22	57
chr14	78226528	169	159	125	17	18	25
chr14	82375756	177	193	128	28	24	60
chr14	105878739	0	0	1	.	.	.
chr15	71492980	149	206	.	17	22	41
chr15	77288035	179	185	134	30	19	52
chr15	83433250	136	157	149	28	16	42
chr16	7328634	156	181	116	30	11	57
chr16	22033980	158	197	.	22	20	51
chr16	33053821	287	260	183	38	33	48
chr16	73551963	179	179	138	26	20	47
chr16	79833681	174	182	.	23	20	39
chr17	13532383	191	146	136	12	17	49
chr17	15588735	164	169	109	22	20	48
chr17	81960029	103	96	136	31	16	36
chr17	82345520	123	156	114	27	21	50
chr18	27653681	168	192	149	22	13	55
chr18	30627147	177	148	136	16	17	51
chr18	32170541	202	201	.	21	17	61
chr18	37786874	153	177	113	20	15	50
chr18	64631457	153	159	129	20	18	45
chr18	67560890	181	142	99	27	19	49
chr19	11735285	127	144	116	30	19	42
chr19	20395194	168	159	121	28	25	40
chr20	12646721	175	183	139	19	20	33
chr20	46890483	173	187	153	20	15	54
chr21	13231668	174	188	116	14	24	52
chr21	19917897	186	188	128	41	28	43
chr21	45404481	157	124	132	14	13	42
chr21	46632856	180	197	166	28	16	48
chr22	21082577	145	167	.	40	15	44
chr22	31466521	161	148	125	33	30	49
